tool,defect,param,n_bad,n_good,good_p50,good_p5,good_p95,bad_p50,pct_diff,abs_cliffs,cliffs,welch_p,rf_imp,within_cv,actionable,sig,composite
1,Burnt Carpet / Vynil,Top Tool Pos Close,10,2077,12480.0,12480.0,12500.0,12500.0,0.06,0.379,0.379,0.045079895658117396,0.0073,0.0007,False,False,0.0
1,Burnt Carpet / Vynil,Pos Vinyl N Length,10,2077,21.0,0.0,56.0,25.5,32.44,0.173,0.173,0.4058623016640995,0.0129,1.0175,True,False,0.0
1,Burnt Carpet / Vynil,Pos Vinyl N Width,10,2077,23.0,0.0,33.0,25.0,20.34,0.061,0.061,0.46443558401605795,0.013,0.8847,True,False,0.0
1,Burnt Carpet / Vynil,Pos Vinyl S Length,10,2077,120.0,0.0,131.0,120.0,30.17,0.171,0.171,2.0637522806123667e-07,0.058,0.5334,True,True,2.4226
1,Burnt Carpet / Vynil,Pos Vinyl S Width,10,2077,249.0,0.0,257.0,250.0,30.03,0.218,0.218,2.3839147697788427e-78,0.0919,0.5247,True,True,3.8068
1,Burnt Carpet / Vynil,Roller Gap LH,10,2077,10.0,9.0,11.0,9.0,-5.89,0.392,-0.392,0.026119822456419278,0.045,0.0976,True,False,0.0
1,Burnt Carpet / Vynil,Roller Gap RH,10,2077,1.0,1.0,3.0,1.0,-30.09,0.269,-0.269,0.02983862301645441,0.041,0.6292,True,False,0.0
1,Burnt Carpet / Vynil,Glue Temp,10,2077,146.0,144.0,147.0,145.0,-0.32,0.239,-0.239,0.17877728100019438,0.0119,0.0076,False,False,0.0
1,Burnt Carpet / Vynil,Stetch Length Pick Up,10,2077,18450.0,18400.0,18500.0,18400.0,-0.12,0.268,-0.268,0.12780354412983924,0.0314,0.0023,False,False,0.0
1,Burnt Carpet / Vynil,Stetch Length Stretch 1,10,2077,18430.0,18430.0,18450.0,18430.0,-0.01,0.06,-0.06,0.5653357629876444,0.002,0.0004,False,False,0.0
1,Burnt Carpet / Vynil,Stetch Length Stretch 3,10,2077,18480.0,18480.0,18500.0,18480.0,-0.01,0.105,-0.105,3.16503192178614e-52,0.0,0.0003,False,True,0.0
1,Burnt Carpet / Vynil,Stretch Cross Stretch 1,10,2077,9520.0,9500.0,9520.0,9500.0,-0.09,0.422,-0.422,0.02964996692262974,0.0291,0.0008,False,False,0.0
1,Burnt Carpet / Vynil,Stretch Cross Stretch 2,10,2077,9550.0,9520.0,9550.0,9520.0,-0.13,0.422,-0.422,0.02957824719102316,0.0197,0.0012,False,False,0.0
1,Burnt Carpet / Vynil,Stretch Cross Stretch 3,10,2077,9650.0,9630.0,9650.0,9650.0,0.04,0.199,0.199,3.56515167169944e-93,0.0079,0.0009,False,True,0.0
1,Burnt Carpet / Vynil,Temp Z1,10,2077,140.0,110.0,179.0,154.0,6.12,0.227,0.227,0.2456515182045661,0.0199,0.1589,True,False,0.0
1,Burnt Carpet / Vynil,Temp Z2,10,2077,135.0,106.0,170.0,147.5,7.49,0.28,0.28,0.16643844662769613,0.0338,0.1565,True,False,0.0
1,Burnt Carpet / Vynil,Temp Z3,10,2077,134.0,106.0,172.0,148.5,6.72,0.25,0.25,0.22373820076995773,0.0294,0.1603,True,False,0.0
1,Burnt Carpet / Vynil,Temp Z4,10,2077,128.0,102.0,164.0,140.0,7.54,0.275,0.275,0.17398101452619907,0.0351,0.1561,True,False,0.0
1,Out of dimension,Temp. THT at Trigger,18,2077,155.0,150.0,210.0,155.0,3.3,0.217,0.217,0.29813319694250145,0.0133,0.1111,True,False,0.0
1,Out of dimension,Temp. BHT at Trigger,18,2077,180.0,150.0,202.0,183.5,1.75,0.18,0.18,0.28801877348166316,0.0454,0.0797,True,False,0.0
1,Out of dimension,heating time (tens of seconds),18,2077,467.0,333.0,699.2,487.5,1.51,0.122,0.122,0.6072206824472369,0.036,0.1635,True,False,0.0
1,Out of dimension,Vacuum Time Tool Cavity A,18,2077,84.0,55.0,87.0,70.5,-9.23,0.42,-0.42,0.009970412353248281,0.0386,0.1312,True,True,1.7960000000000003
1,Out of dimension,Vacuum Time Tool Cavity B,18,2077,83.0,47.0,86.0,64.0,-16.71,0.436,-0.436,0.01155335343111569,0.0363,0.1883,True,False,0.0
1,Out of dimension,BT Circuit 1 Temp,18,2077,28.0,26.0,29.0,28.0,1.11,0.152,0.152,0.16743188596551256,0.0099,0.0389,True,False,0.0
1,Out of dimension,BT Circuit 2 Temp,18,2077,26.0,24.0,27.0,26.0,0.28,0.003,-0.003,0.6852362983711558,0.0087,0.0396,True,False,0.0
1,Out of dimension,Graining Vacuum TTF Cavity 1,18,2077,1.0,1.0,2.0,2.0,14.53,0.203,0.203,0.12105624960032167,0.0103,0.3734,True,False,0.0
1,Out of dimension,Machine Cycle Time,18,2077,834.0,721.8,9999.0,816.0,17.48,0.002,0.002,0.6801985355349565,0.044,1.531,True,False,0.0
1,Out of dimension,Capacity THT,18,2077,60.0,55.0,75.0,65.0,1.58,0.154,0.154,0.37279538843427484,0.0119,0.0808,True,False,0.0
1,Out of dimension,Capacity BHT,18,2077,55.0,35.0,60.0,55.0,1.89,0.094,0.094,0.4300469699387025,0.0094,0.1133,True,False,0.0
1,Out of dimension,Time Feed to Vacuum 1,18,2077,79.0,60.0,80.0,79.0,-3.4,0.102,-0.102,0.2052130933377696,0.0191,0.0744,True,False,0.0
1,Out of dimension,Pyro Clean,18,2077,253.0,26.0,470.0,356.5,34.56,0.398,0.398,0.0010466818019708012,0.1387,0.5196,True,True,5.7868
1,Out of dimension,Top Tool Pos Close,18,2077,12480.0,12480.0,12500.0,12500.0,0.04,0.291,0.291,0.07204940271349881,0.01,0.0007,False,False,0.0
1,Out of dimension,Pos Vinyl N Length,18,2077,21.0,0.0,56.0,30.0,21.99,0.209,0.209,0.408062082624275,0.0247,1.0175,True,False,0.0
1,Out of dimension,Pos Vinyl N Width,18,2077,23.0,0.0,33.0,25.0,8.11,0.028,0.028,0.7062274360005465,0.0209,0.8847,True,False,0.0
1,Out of dimension,Pos Vinyl S Length,18,2077,120.0,0.0,131.0,123.5,28.9,0.258,0.258,1.6756591531168463e-08,0.0587,0.5334,True,True,2.5028
1,Out of dimension,Pos Vinyl S Width,18,2077,249.0,0.0,257.0,252.0,30.05,0.278,0.278,1.878955930743972e-71,0.056,0.5247,True,True,2.4068
1,Out of dimension,Roller Gap LH,18,2077,10.0,9.0,11.0,9.0,-8.23,0.538,-0.538,3.673001569550613e-08,0.105,0.0976,True,True,4.5228
1,Out of dimension,Roller Gap RH,18,2077,1.0,1.0,3.0,1.0,-41.74,0.368,-0.368,4.131989757436346e-167,0.0721,0.6292,True,True,3.1048000000000004
1,Out of dimension,Glue Temp,18,2077,146.0,144.0,147.0,146.0,-0.04,0.019,-0.019,0.8126406359310193,0.0135,0.0076,False,False,0.0
1,Out of dimension,Stetch Length Pick Up,18,2077,18450.0,18400.0,18500.0,18400.0,-0.17,0.37,-0.37,0.0033176388533354586,0.0459,0.0023,False,True,0.0
1,Out of dimension,Stetch Length Stretch 1,18,2077,18430.0,18430.0,18450.0,18430.0,-0.02,0.16,-0.16,1.3332326423390946e-80,0.0038,0.0004,False,True,0.0
1,Out of dimension,Stetch Length Stretch 3,18,2077,18480.0,18480.0,18500.0,18480.0,0.0,0.006,0.006,0.9417772749855812,0.0002,0.0003,False,False,0.0
1,Out of dimension,Stretch Cross Stretch 1,18,2077,9520.0,9500.0,9520.0,9505.0,-0.07,0.367,-0.367,0.00866180293752544,0.0182,0.0008,False,True,0.0
1,Out of dimension,Stretch Cross Stretch 2,18,2077,9550.0,9520.0,9550.0,9530.0,-0.11,0.367,-0.367,0.010456203080726326,0.0253,0.0012,False,False,0.0
1,Out of dimension,Stretch Cross Stretch 3,18,2077,9650.0,9630.0,9650.0,9650.0,0.04,0.199,0.199,3.56515167169944e-93,0.0068,0.0009,False,True,0.0
1,Out of dimension,Temp Z1,18,2077,140.0,110.0,179.0,149.0,7.03,0.248,0.248,0.06621540256270145,0.0261,0.1589,True,False,0.0
1,Out of dimension,Temp Z2,18,2077,135.0,106.0,170.0,146.0,9.18,0.321,0.321,0.02261954045792112,0.0374,0.1565,True,False,0.0
1,Out of dimension,Temp Z3,18,2077,134.0,106.0,172.0,143.0,7.58,0.258,0.258,0.05909407802819361,0.0247,0.1603,True,False,0.0
1,Out of dimension,Temp Z4,18,2077,128.0,102.0,164.0,132.5,8.12,0.273,0.273,0.044412277752846833,0.0291,0.1561,True,False,0.0
1,Bad edge wrap,Temp. THT at Trigger,20,2077,155.0,150.0,210.0,155.0,-2.25,0.017,0.017,0.20461492314810134,0.007,0.1111,True,False,0.0
1,Bad edge wrap,Temp. BHT at Trigger,20,2077,180.0,150.0,202.0,168.0,-5.1,0.476,-0.476,0.000149322681710374,0.1582,0.0797,True,True,6.6136
1,Bad edge wrap,heating time (tens of seconds),20,2077,467.0,333.0,699.2,463.5,-3.61,0.126,-0.126,0.07675506874035348,0.0434,0.1635,True,False,0.0
1,Bad edge wrap,Vacuum Time Tool Cavity A,20,2077,84.0,55.0,87.0,86.0,3.24,0.148,0.148,0.20587662259301673,0.02,0.1312,True,False,0.0
1,Bad edge wrap,Vacuum Time Tool Cavity B,20,2077,83.0,47.0,86.0,85.0,5.98,0.185,0.185,0.047498496468175944,0.0256,0.1883,True,False,0.0
1,Bad edge wrap,BT Circuit 1 Temp,20,2077,28.0,26.0,29.0,26.5,-3.97,0.514,-0.514,0.00032956660393097277,0.0272,0.0389,True,True,1.3963999999999999
1,Bad edge wrap,BT Circuit 2 Temp,20,2077,26.0,24.0,27.0,25.0,-4.4,0.584,-0.584,2.8179544447845568e-05,0.0734,0.0396,True,True,3.2864000000000004
1,Bad edge wrap,Graining Vacuum TTF Cavity 1,20,2077,1.0,1.0,2.0,1.0,6.76,0.099,0.099,0.43315235282098025,0.0028,0.3734,True,False,0.0
1,Bad edge wrap,Machine Cycle Time,20,2077,834.0,721.8,9999.0,821.0,-13.22,0.076,-0.076,0.6824771166784945,0.0242,1.531,True,False,0.0
1,Bad edge wrap,Capacity THT,20,2077,60.0,55.0,75.0,62.5,0.24,0.055,0.055,0.7994088868023106,0.0036,0.0808,True,False,0.0
1,Bad edge wrap,Capacity BHT,20,2077,55.0,35.0,60.0,55.0,2.2,0.037,-0.037,9.376420727053718e-18,0.0027,0.1133,True,True,0.1302
1,Bad edge wrap,Time Feed to Vacuum 1,20,2077,79.0,60.0,80.0,80.0,1.51,0.31,0.31,0.27002854122643666,0.0612,0.0744,True,False,0.0
1,Bad edge wrap,Pyro Clean,20,2077,253.0,26.0,470.0,222.0,-14.33,0.214,-0.214,0.0010393970985700621,0.1145,0.5196,True,True,4.708400000000001
1,Bad edge wrap,Top Tool Pos Close,20,2077,12480.0,12480.0,12500.0,12480.0,-0.04,0.22,-0.22,1.8552443458356876e-111,0.0041,0.0007,False,True,0.0
1,Bad edge wrap,Pos Vinyl N Length,20,2077,21.0,0.0,56.0,24.0,21.54,0.078,0.078,0.40017626847963855,0.0189,1.0175,True,False,0.0
1,Bad edge wrap,Pos Vinyl N Width,20,2077,23.0,0.0,33.0,27.0,20.34,0.148,0.148,0.3340044774174288,0.0143,0.8847,True,False,0.0
1,Bad edge wrap,Pos Vinyl S Length,20,2077,120.0,0.0,131.0,119.0,20.93,0.097,0.097,0.007692094855341762,0.048,0.5334,True,True,1.9782
1,Bad edge wrap,Pos Vinyl S Width,20,2077,249.0,0.0,257.0,248.5,22.1,0.151,-0.151,0.0029962853685662756,0.0524,0.5247,True,True,2.1866
1,Bad edge wrap,Roller Gap LH,20,2077,10.0,9.0,11.0,10.5,5.12,0.296,0.296,0.0002769784615057598,0.0303,0.0976,True,True,1.3896000000000002
1,Bad edge wrap,Roller Gap RH,20,2077,1.0,1.0,3.0,2.0,16.52,0.127,0.127,0.23355281136043882,0.0024,0.6292,True,False,0.0
1,Bad edge wrap,Glue Temp,20,2077,146.0,144.0,147.0,145.5,-0.04,0.01,-0.01,0.8265259145635097,0.0072,0.0076,False,False,0.0
1,Bad edge wrap,Stetch Length Pick Up,20,2077,18450.0,18400.0,18500.0,18475.0,0.15,0.372,0.372,0.0001305784208028873,0.0562,0.0023,False,True,0.0
1,Bad edge wrap,Stetch Length Stretch 1,20,2077,18430.0,18430.0,18450.0,18440.0,0.04,0.34,0.34,0.008016365466134438,0.018,0.0004,False,True,0.0
1,Bad edge wrap,Stetch Length Stretch 3,20,2077,18480.0,18480.0,18500.0,18480.0,-0.01,0.105,-0.105,3.16503192178614e-52,0.0,0.0003,False,True,0.0
1,Bad edge wrap,Stretch Cross Stretch 1,20,2077,9520.0,9500.0,9520.0,9520.0,0.04,0.179,0.179,6.996521017714318e-91,0.0006,0.0008,False,True,0.0
1,Bad edge wrap,Stretch Cross Stretch 2,20,2077,9550.0,9520.0,9550.0,9550.0,0.06,0.179,0.179,9.987200924260378e-91,0.0014,0.0012,False,True,0.0
1,Bad edge wrap,Stretch Cross Stretch 3,20,2077,9650.0,9630.0,9650.0,9650.0,0.05,0.238,0.238,8.407049258821337e-05,0.0185,0.0009,False,True,0.0
1,Bad edge wrap,Temp Z1,20,2077,140.0,110.0,179.0,135.0,-4.45,0.187,-0.187,0.13243289455938353,0.039,0.1589,True,False,0.0
1,Bad edge wrap,Temp Z2,20,2077,135.0,106.0,170.0,131.0,-4.3,0.188,-0.188,0.12317963648281474,0.0429,0.1565,True,False,0.0
1,Bad edge wrap,Temp Z3,20,2077,134.0,106.0,172.0,127.5,-4.63,0.191,-0.191,0.13134893104795667,0.0341,0.1603,True,False,0.0
1,Bad edge wrap,Temp Z4,20,2077,128.0,102.0,164.0,123.5,-4.99,0.214,-0.214,0.07487261369274414,0.0479,0.1561,True,False,0.0
2,Dent,Temp. THT at Trigger,28,3631,160.0,142.0,172.0,162.0,3.74,0.281,0.281,0.00780220122316579,0.0701,0.0575,True,True,2.9726000000000004
2,Dent,Temp. BHT at Trigger,28,3631,194.0,172.0,207.0,189.5,-2.06,0.272,-0.272,0.021989547694441842,0.068,0.0576,True,False,0.0
2,Dent,heating time (tens of seconds),28,3631,470.0,440.0,510.0,500.0,10.59,0.579,0.579,7.434245621634516e-06,0.1376,0.0572,True,True,5.851400000000001
2,Dent,Vacuum Time Tool Cavity A,28,3631,71.0,64.0,73.0,72.0,0.43,0.157,0.157,0.693387246704056,0.0403,0.067,True,False,0.0
2,Dent,Vacuum Time Tool Cavity B,28,3631,71.0,64.0,73.0,71.0,0.37,0.113,0.113,0.7288623791652955,0.0267,0.0692,True,False,0.0
2,Dent,BT Circuit 1 Temp,28,3631,25.0,23.0,26.0,25.0,-0.2,0.042,-0.042,0.707196456022865,0.0176,0.0352,True,False,0.0
2,Dent,BT Circuit 2 Temp,28,3631,23.0,22.0,23.0,23.0,0.06,0.004,-0.004,0.8873099859123709,0.0057,0.0231,True,False,0.0
